Input Parameter,Output Parameter,Group Number,Mean Input,Normalized Mean Output,Mean Output,Std Dev Input,Std Dev Output,Min Input,Max Input,Group Size
"testsPerDay","peakNumInfected",0,50.0000,1.0407,140.8788,0.0000,59.8131,50.0000,50.0000,726
"testsPerDay","peakNumInfected",1,100.0000,1.0245,138.6749,0.0000,60.1964,100.0000,100.0000,726
"testsPerDay","peakNumInfected",2,300.0000,0.9758,132.0868,0.0000,59.6508,300.0000,300.0000,726
"testsPerDay","peakNumInfected",3,500.0000,0.9590,129.8127,0.0000,59.6112,500.0000,500.0000,726
"numSusceptible","peakNumInfected",0,521.8276,1.6670,225.6552,12.6411,51.2770,490.0000,538.0000,29
"numSusceptible","peakNumInfected",1,566.4579,1.5202,205.7737,12.8340,50.4432,539.0000,586.0000,190
"numSusceptible","peakNumInfected",2,610.1691,1.3225,179.0123,13.8744,48.4023,587.0000,634.0000,408
"numSusceptible","peakNumInfected",3,658.5221,1.1494,155.5809,14.1369,44.7580,635.0000,682.0000,408
"numSusceptible","peakNumInfected",4,707.7630,1.0621,143.7647,13.4208,46.8181,683.0000,730.0000,578
"numSusceptible","peakNumInfected",5,753.9197,0.8728,118.1518,14.1036,46.7630,731.0000,778.0000,685
"numSusceptible","peakNumInfected",6,799.2420,0.6615,89.5481,13.4964,39.2244,779.0000,826.0000,405
"numSusceptible","peakNumInfected",7,847.4507,0.4305,58.2746,12.9906,28.1975,827.0000,873.0000,142
"numSusceptible","peakNumInfected",8,893.1296,0.3112,42.1296,12.9344,18.9776,875.0000,919.0000,54
"numSusceptible","peakNumInfected",9,946.4000,0.1374,18.6000,16.9776,9.1564,931.0000,970.0000,5
"compFactorMask","totDeath",0,0.3500,1.3316,5.1777,0.0000,2.2853,0.3500,0.3500,968
"compFactorMask","totDeath",1,0.6500,0.9378,3.6467,0.0000,2.0295,0.6500,0.6500,968
"compFactorMask","totDeath",2,0.9500,0.7306,2.8409,0.0000,1.8718,0.9500,0.9500,968
"hybridClassesEnabled","totDeath",0,0.0000,1.0342,4.0213,0.0000,2.2404,0.0000,0.0000,1452
"hybridClassesEnabled","totDeath",1,1.0000,0.9658,3.7555,0.0000,2.3210,1.0000,1.0000,1452
"percAsymptomatic","totDeath",0,0.0500,1.0540,4.0985,0.0500,2.3423,0.0000,0.1000,528
"percAsymptomatic","totDeath",1,0.2000,0.9605,3.7348,0.0000,2.1315,0.2000,0.2000,264
"percAsymptomatic","totDeath",2,0.3000,1.0092,3.9242,0.0000,2.3049,0.3000,0.3000,264
"percAsymptomatic","totDeath",3,0.4000,0.9936,3.8636,0.0000,2.0735,0.4000,0.4000,264
"percAsymptomatic","totDeath",4,0.5000,0.9693,3.7689,0.0000,2.2871,0.5000,0.5000,264
"percAsymptomatic","totDeath",5,0.6000,0.9975,3.8788,0.0000,2.3177,0.6000,0.6000,264
"percAsymptomatic","totDeath",6,0.7000,0.9975,3.8788,0.0000,2.4310,0.7000,0.7000,264
"percAsymptomatic","totDeath",7,0.8000,1.0073,3.9167,0.0000,2.2980,0.8000,0.8000,264
"percAsymptomatic","totDeath",8,0.9000,0.9849,3.8295,0.0000,2.2574,0.9000,0.9000,264
"percAsymptomatic","totDeath",9,1.0000,0.9722,3.7803,0.0000,2.2956,1.0000,1.0000,264
"percInitiallyInfected","totDeath",0,0.0050,0.8392,3.2633,0.0050,2.2540,0.0000,0.0100,528
"percInitiallyInfected","totDeath",1,0.0200,0.8631,3.3561,0.0000,2.0156,0.0200,0.0200,264
"percInitiallyInfected","totDeath",2,0.0300,0.9079,3.5303,0.0000,2.2189,0.0300,0.0300,264
"percInitiallyInfected","totDeath",3,0.0400,0.9576,3.7235,0.0000,2.0290,0.0400,0.0400,264
"percInitiallyInfected","totDeath",4,0.0500,0.9566,3.7197,0.0000,2.1875,0.0500,0.0500,264
"percInitiallyInfected","totDeath",5,0.0600,1.0365,4.0303,0.0000,2.3223,0.0600,0.0600,264
"percInitiallyInfected","totDeath",6,0.0700,1.0608,4.1250,0.0000,2.1540,0.0700,0.0700,264
"percInitiallyInfected","totDeath",7,0.0800,1.1612,4.5152,0.0000,2.3077,0.0800,0.0800,264
"percInitiallyInfected","totDeath",8,0.0900,1.1612,4.5152,0.0000,2.3077,0.0900,0.0900,264
"percInitiallyInfected","totDeath",9,0.1000,1.2167,4.7311,0.0000,2.4245,0.1000,0.1000,264
"testsPerDay","totDeath",0,50.0000,1.0691,4.1570,0.0000,2.3607,50.0000,50.0000,726
"testsPerDay","totDeath",1,100.0000,1.0142,3.9435,0.0000,2.2214,100.0000,100.0000,726
"testsPerDay","totDeath",2,300.0000,0.9561,3.7176,0.0000,2.2376,300.0000,300.0000,726
"testsPerDay","totDeath",3,500.0000,0.9607,3.7355,0.0000,2.2894,500.0000,500.0000,726
"numSusceptible","totDeath",0,521.8276,1.7470,6.7931,12.6411,2.4966,490.0000,538.0000,29
"numSusceptible","totDeath",1,566.4579,1.4862,5.7789,12.8340,2.3110,539.0000,586.0000,190
"numSusceptible","totDeath",2,610.1691,1.3577,5.2794,13.8744,2.3785,587.0000,634.0000,408
"numSusceptible","totDeath",3,658.5221,1.1850,4.6078,14.1369,2.1128,635.0000,682.0000,408
"numSusceptible","totDeath",4,707.7630,1.0064,3.9135,13.4208,1.9410,683.0000,730.0000,578
"numSusceptible","totDeath",5,753.9197,0.8143,3.1664,14.1036,1.8691,731.0000,778.0000,685
"numSusceptible","totDeath",6,799.2420,0.7271,2.8272,13.4964,1.7708,779.0000,826.0000,405
"numSusceptible","totDeath",7,847.4507,0.5488,2.1338,12.9906,1.5755,827.0000,873.0000,142
"numSusceptible","totDeath",8,893.1296,0.3810,1.4815,12.9344,1.4108,875.0000,919.0000,54
"numSusceptible","totDeath",9,946.4000,0.2057,0.8000,16.9776,0.4000,931.0000,970.0000,5
